발견일,기관,공고명,게시일,마감일,매칭 키워드,링크,키
2026-09-08,한국사회적기업진흥원,판로지원 플랫폼,,확인필요,판로,https://www.sepp.or.kr/store365,9f37e2473cc28b02
2026-09-08,한국사회적기업진흥원,협동조합 홍보포털,,확인필요,홍보,https://www.coop.go.kr/home/index.do,ef859332564605aa
2026-09-08,한국사회적기업진흥원,2026년 사회적기업 인증 가이드 서울인천센터,,확인필요,인증,https://socialenterprise.or.kr/homepage/bbs/boardView.do?bsIdx=10009&bIdx=252616&page=1&menuId=869&bcIdx=0,f2909d90b24a02de
2026-09-08,한국사회적기업진흥원,2026년 사회적기업 인증 안내 리플릿 서울인천센터,,확인필요,인증,https://socialenterprise.or.kr/homepage/bbs/boardView.do?bsIdx=10009&bIdx=10955&page=1&menuId=869&bcIdx=0,5694d528be4dbbbe
2026-09-08,중앙사회서비스원,「2026년 제2차 사회서비스 정책포럼」 개최 안내 2026-09-08 23,2026-09-08,2026-09-10,사회서비스,https://www.kcpass.or.kr/board/view?pageNum=1&rowCnt=10&no1=1&linkId=BRaaY34jxg&menuId=MENU002030101000000&schType=0&schText=&boardStyle=&categoryId=&continent=&country=,9a4b22758b861824
2026-09-08,부산테크노파크,Age-Tech 종합지원센터 운영 사업 TRL기반 기술성장 맞춤 지원 공고,2026-09-07,2026-09-14,Age-Tech,https://www.btp.or.kr/kor/CMS/Board/Board.do?mCode=MN013&mode=view&mgr_seq=16&board_seq=9582417,b38c584a167c5026
2026-09-08,부산테크노파크,2026년 고위험산업 사각지대 집중관리사업(안전보호구 지원) 참여기업 4차 추가모집 공고,2026-09-01,2026-10-30,안전,https://www.btp.or.kr/kor/CMS/Board/Board.do?mCode=MN013&mode=view&mgr_seq=16&board_seq=9582349,15554700bfa487d7
2026-09-08,부산정보산업진흥원,2026년 AX 에이지테크 시장확산 지원사업 모집 공고,2026-09-01,확인필요,"에이지테크, AX",https://bipa.kr/board/business/view?seq=85330,621aca5a42560ec1
2026-09-08,부산정보산업진흥원,2026 해양문화도시 기반의 에이지테크 실증거점 조성 사업 「CES 2027 통합 부산관」 참가기업 모집 공고,2026-09-01,확인필요,"에이지테크, 실증",https://bipa.kr/board/business/view?seq=85329,cc394601c6ddd3eb
2026-09-08,광주테크노파크,「2026년도 연구개발특구진흥재단 광주특구본부」 지역혁신 실증 프로젝트 기획 실증의제 수요조사 공고(2차),2026-09-01,2026-09-30,실증,"https://www.gjtp.or.kr/home/business.cs?act=view&bsnssId=2257&ctg01=01,02,03,04,05,06,09,07,08,10,11,12&ctg02=06&ctg03=14&pageIndex=1&pageUnit=30&searchKeyword=",243170a0034f0773
2026-09-08,광주테크노파크,Age-Tech 제품 사용성평가 참여자 모집 공고,2026-09-01,2026-09-11,Age-Tech,https://www.gjtp.or.kr/home/business.cs?act=view&bsnssId=2256&ctg01=12&ctg02=06&ctg03=14&pageIndex=1&pageUnit=30&searchKeyword=,cfa7df672848068a
2026-09-08,고령친화산업지원센터,[공고] 2026년 1차 고령친화우수제품 지정 공고,,확인필요,고령,https://www.khidi.or.kr/board/view?pageNum=1&rowCnt=10&no1=416&linkId=48948098&menuId=MENU00325&maxIndex=00489480989998&minIndex=00488584939998&schType=0&schText=&schStartDate=&schEndDate=&boardStyle=&categoryId=&continent=&country=,1baf1adf3f10a41b
2026-09-08,고령친화산업지원센터,[공고] 2026년 고령친화산업 육성 유공자 정부 포상 추천계획 공고,,확인필요,"고령, 유공, 포상",https://www.khidi.or.kr/board/view?pageNum=1&rowCnt=10&no1=415&linkId=48947840&menuId=MENU00325&maxIndex=00489480989998&minIndex=00488584939998&schType=0&schText=&schStartDate=&schEndDate=&boardStyle=&categoryId=&continent=&country=,95ec42b38ef4b8d7
2026-09-08,경남테크노파크,경상남도 제조 스타트업 홍보·마케팅 지원 프로그램 수혜기업 모집공고,2026-09-03,2026-09-22,"마케팅, 홍보",https://www.gntp.or.kr/biz/applyInfo/3838,6aab2694a53ce90d
2026-09-08,K-Startup(창업진흥원),"2026 서울창업허브 공덕 9월 허브아워 - 투자, 수출 컨설팅 새로운게시글",2026-09-03,2026-09-17,수출,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=179152&page=1,a6608c2c2542d508
2026-09-08,K-Startup(창업진흥원),2026 한·독 바이오·헬스케어 온라인 사전 세미나 새로운게시글,2026-09-01,2026-09-22,헬스케어,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=179124&page=1,6851844ff6b74407
